Date,High,low,Close,No.of Trades,Turn over
27-05-14,69.50,68.50,68.90,38,"3,131,117.60"
28-05-14,69.00,68.60,68.70,8,"198,682.40"
29-05-14,69.20,68.00,68.40,42,"13,441,835.50"
30-05-14,69.00,67.60,67.60,19,"2,718,103.80"
02-06-14,68.80,68.20,68.20,10,"1,064,416.60"
03-06-14,68.50,68.20,68.40,5,"106,901.50"
04-06-14,68.30,68.00,68.10,16,"1,258,634.20"
05-06-14,68.70,68.10,68.70,26,"1,532,278.90"
06-06-14,68.50,68.00,68.20,32,"3,983,184.50"
09-06-14,69.40,68.00,69.00,46,"3,258,289.20"
10-06-14,68.90,68.50,68.50,18,"698,774.90"
11-06-14,69.20,68.40,69.00,34,"6,005,739.60"
13-06-14,70.40,69.00,70.10,130,"12,898,524.80"
16-06-14,70.40,70.00,70.30,55,"8,556,186.10"
17-06-14,70.70,70.00,70.50,63,"22,108,029.30"
18-06-14,70.90,70.00,70.10,30,"7,213,364.00"
19-06-14,70.20,70.00,70.00,28,"3,202,149.40"
20-06-14,70.60,69.90,70.50,45,"15,893,498.40"
23-06-14,70.60,70.00,70.50,48,"19,025,136.50"
24-06-14,71.00,70.50,70.50,46,"11,365,392.70"
25-06-14,71.00,70.70,71.00,43,"22,366,640.60"
26-06-14,71.20,71.00,71.20,27,"2,585,490.00"
27-06-14,71.10,71.00,71.10,26,"2,245,603.60"
30-06-14,71.50,71.10,71.10,57,"5,041,483.80"
01-07-14,73.00,71.10,72.20,87,"16,541,722.80"
02-07-14,73.50,73.00,73.30,58,"11,351,850.10"
03-07-14,75.50,73.00,74.80,115,"23,906,578.90"
04-07-14,75.50,74.20,74.40,90,"21,338,888.50"
07-07-14,74.50,73.00,73.40,29,"9,447,077.50"
08-07-14,74.80,72.50,74.50,61,"4,160,980.10"
09-07-14,75.40,74.00,74.80,108,"16,849,178.90"
10-07-14,76.20,74.80,76.00,139,"111,805,017.00"
11-07-14,77.40,75.30,75.60,134,"35,338,532.00"
14-07-14,75.60,75.00,75.10,53,"5,121,656.50"
15-07-14,75.80,75.00,75.50,67,"14,217,753.90"
16-07-14,75.50,75.00,75.00,42,"6,498,727.10"
